title,story
강도,"들개들, 벼랑 끝에서 아귀떼를 만나다."
뿔뿔뿔뿔,"머리에 뿔이 나는 짐승으로 변하는 '미노타우로스 증후군'을 가진 오후.
어려운 시국에 취업에 성공하는데…
그가 출근한 곳은 나무와 풀들이 우거져 있고, 
자신과 같은 미노타우로스 증후군을 가진 동료들이 근무하는 사무실!

마 부장, 라 차장, 양 대리 외 평범한 인간 정우까지.

적인지 동지인지 알 수 없는 그들 사이에서
오후는 무사히 사회생활을 해나갈 수 있을까?
--------------------------------
*번외편 최초 공개*
*매주 화요일 00시에 연재됩니다.*"
묘진전,"하늘로 돌아가고 싶은 남자, 묘진. 그와 얽힌 기묘한 이야기"
지금 죽이러 갑니다,"어릴 때, 끔찍한 기억을 가지고 살아온 민정. 살인자의 딸... 그녀에게는 잊고 싶은 기억이다. 김민정이라는 이름을 버리고, 도선영으로 새로운 삶을 살아가게 되지만 아버지에게 가족이 몰살당했던 피해자의 습격! 도선영은 의식을 잃게 되고, 다시 눈을 떴을 때는 1995년 어느 날의 병원. 아버지가 첫 번째 살인을 저지른 바로 그날이다?!"
끝에서부터 한걸음,"오랜 친구인 김상진을 짝사랑하는 배송우.
마음을 꼭꼭 숨기고 살던 어느날,
배송우는 김상진의 집에서
수상한 책 한 권을 발견한다.
김상진의 인생이 적혀있는 수상한 책 속
배송우는 지나가는 엑스트라 1일 뿐..?!
애써 무시하던 배송우는 모든 일이
책에 적힌대로 흘러간다는 것을 깨닫는데…"
야설록 흑도백도 컬렉션,"<야설록 흑도백도 컬렉션> 작품 구성

1. 혈조 [개정판]
2. 설견 [개정판]
3. 검군제 [개정판]
4. 흑도백도 [개정판]
5. 흑랑위 [개정판]
6. 낭만수라 [개정판]"
인 마이 클로젯,"사람들에게 사랑을 받으며 활동하는 아이돌을 꿈꾸는 '수아'.
하지만 어느 날 자신이 게이임을 알게 되고 긴 슬럼프에 빠지게 된다.
우여곡절 끝에 데뷔를 하게 된 수아 앞에 자신을 슬럼프에 빠지게 한 원인이자
첫 사랑 '정현'이 매니저로 나타나는데...

#연예계, #현대물, #첫사랑물,
#매니저공, #상처공, #벤츠공, #아이돌수, #짝사랑수, #명랑수"
늑대처럼 울어라,살기 위해 싸움을 선택한 남자들!
지렁이,"무덤을 파먹고 사는 사람들!
우리가 아니면 언제까지고 땅 속에서 잠자고 있을 보물들에게 빛을 보게 해 주고 세상에 유통시켜 주겠어?

지렁이! 흙을 파먹고 사는 생태계릍 통틀어 거의 가장 밑바닥에 존재하는 하등동물이지.얼마나 미천한 생물이면 지렁이도 밟으면 꿈틀한다는 속담이 다 있겠냐. 그런데 알고보면 지렁이만큼 이로운 생물이 없어. 
지렁이가 땅속을 헤집고 다닌 구멍들은 땅속에 통풍이 되게 해 주어서 식물의 뿌리가 숨쉴 수 있게 해 주고 지렁이의 배설물도 식물이 자라는데 요긴한 자양분이 되지!
그런 지렁이같은 우리가 아니면 언제까지고 땅 속에서 잠자고 있을 보물을 빛을 보게 해 주고 세상에 유통시켜 주겠어? 어찌보면 우리가 하는 일이 좋은 일일 수도 있지."
닥터 스트레인지,"모든 마법에는 대가가 따른다. 그런데 만약 소서러 슈프림이 대가를 치르지 못한다면? 과학 신봉자 집단 엠피리쿨이 위협을 가해 오면서 기이한 현상들이 숨 돌릴 틈 없이 벌어지지만, 마법은 전과 달리 제대로 작동하지 않는다! 그동안 사용했던 마법의 대가를 제대로 치르지 않았기 때문일까? 마법 세계가 붕괴될 위기 앞에서, 마법사들이 의지할 사람은 닥터 스트레인지뿐이다!"
