title,story
하루의 하루,"오하루는 다른 사람의 마음을 읽을 수 있는 초능력자다.
얼마 전, 저주 받은 능력 때문에 첫사랑도 허무하게 깨져버리고
건조한 일상을 보내고 있던 하루에게 최근 신경쓰이는 사람이 생겼다.

그 사람은 바로, 같은 과 동기인 도하루.
그녀의 마음은 도무지 보이지 않는다. 이건 혹시.. 운명..?"
불청객,"사랑스러운 부부 생활툰을 연재하는 인기 웹툰작가 은영,
그녀의 결혼생활은 웹툰과는 달리 불행으로 가득 차 있다.
그러던 어느 날, 술에 취해 눈 떠보니 남편이 시체가 되어 있었다.
때마침 들이닥치는 불청객들, 그들로부터 남편의 시체를 숨겨야 한다!"
헬크래프트,"세상에 배신당해 방구석으로 도망친 고등학생 염승기.
새로운 지옥의 주인으로 지목된 대악마 바함무르크.

바함무르크는 자신의 지옥 제작자로서 염승기를 선택하고,
지옥 제작의 대가로 염승기에게 수감자를 고를 권리를 준다.

복수를 위해 악마와 손을 잡은 염승기, 그렇게 윈윈의 관계로 끝날 줄 알았는데...

갑자기 시작된 데스게임-
살아남기 위해선 지옥에 보내라!"
원하나,"같은 얼굴을 한 쌍둥이들은 상반된 삶을 살고 있었다. 
한 명은 빛나는 아역배우, 한 명은 연약한 몸으로 힘들어 하는 삶.
그러던 어느 날 둘은 뒤바뀐 삶을 살게 되는데, 동경했던 너의 삶은 행복일까, 불행일까."
아슈타르테,"무한한 영광을 가져다줄 피렌체 제국의 빛,아슈타르테. 하지만 음모로 인해 예언은 뒤틀리고...
아슈타르테가 어둠으로 알려지게 되면서 모두가 그녀를 외면한다. 가족들의 사랑을 꿈꾸던 어린아이에서 점점 강인한 소녀로 자라는 '아슈타르테'의 성장기."
우산 없는 애,"화목한 가정에서 자란 여름은 밤마다 부부 싸움 소리가 들리는 윗집 남자애 수완을 종종 챙겨주었다.
놀이공원에서 아르바이트를 하게 된 여름은 엄마와 놀이공원에 가보고 싶다는 수완의 말에 티켓을 선물한다.
얼마 후, 놀이공원에 놀러 온 수완과 아줌마를 보며 흐뭇해하던 여름. 그러나 아줌마의 돌발행동에 당황하는데..."
사랑의 헌옷수거함,"짝사랑은 이제 그만! 고잉고등학교에서 가장 핫한 소문, 헌옷수거함에 돈을 넣고 좋아하는 사람의 이름을 외치면 상대방의 마음을 알려준다는데..!
연애 대신 성적과 돈에만 관심 있는 송아람은 그런 소문에 휘둘리지 않는다.
그런 아람의 일상에 학교 인기남 정진우가 불쑥 들어온다. 어디로 튈지 모르는 이 자식을 어떻게 해야 좋을까?"
라서드,"절대적 권능을 지닌 11인의 왕과, 왕을 수호하기 위한 기사단이 존재하는 세계.
수습기사 힌타는 파트너 캐넛과 함께 정식 기사가 되기 위한 모험을 떠나는데...
정식기사가 되기 위한 소년들의 고군분투 정통판타지액션!"
주작연애,"""야야 저기 니 여친 지나간다ㅋㅋ""
""뭐?죽을래?""
공부말고는 잘하는 것 하나 없는 이세경. 같은 학교 아이들에게 늘 저런식으로 괴롭힘 당한다.
그런 그녀가 학교만 나가면 인싸녀 그 자체?!
학교와의 정반대의 모습에 모두가 알아보지 못하고 심지어 성인 남자들도 그녀가 고딩인줄 모르고 세경에게 만나달라고 애걸복걸하는데.
사람들을 속이며 재미 좀 보려는데 뭐야, 저건?
하필 걸려도 같은 반의 앙숙인, 하선우한테 정체를 들키는데?!
어른도 아닌, 그렇다고 아이도 아닌 청소년들의 방황,사랑,청춘.
달콤매콤 톡톡쏘는 사춘기 로맨스가 시작된다!"
입술이 예쁜 남자,"10년 전 첫키스의 주인공이었던 동생친구가 완벽한 어른남자가 되어 나타났다.
여전히 예쁜 입술로 예쁜 말만 골라 하며 작정한 듯 한비를 홀리기 시작하는데...
이 아슬아슬한 줄타기는 누구의 승리로 끝나게 될까?"
토마토가 돼라!,껄렁한 겉모습으로 인해 음험한 소문을 몰고 다니는 시골 토박이 전학생 신이석은 첫눈에 반한 전교 1등 수재 조해주의 앙큼한 비밀을 목격하게 되고... 그에 대한 의문은 점차 눈덩이처럼 불어나기만 한다. 겉만 번지르르 붉고 속은 흰 사과 같은 조해주에게 진성 토마토 신이석의 짝사랑 폭격이 시작된다!
도깨비 부른다,"국내 최대 마약상 <귀사회>
귀사회를 중심으로 다섯 명의 아이들이 모이게 된다.
그들은 각자 다른 목적을 위해 귀사회의 돈을 노리게 되지만,
결국 잔혹한 진실을 마주하며 세상을 구하려 한다."
악당과 악당이 만나면,"귀족들을 상대로 악명을 떨치던 제국 뒷세계 조직의 보스, 아탈란테. 
어느 날 황제로부터 폭군 리오넬 비안크 대공을 암살해 달라는 의뢰를 받게 된다.
조직원들과 평범하게 살고 싶었던 아탈란테는 의뢰를 수락하고 
대공성에 잠입해 암살 시도하는데….
하지만 어째서인지 죽지 않아?
한순간에 사랑을 속삭이는 대공에게서 아탈란테는 무사히 탈출할 수 있을까?"
"집사, 주세요!","왕따인 내가 서열1위 존잘남을 내 집사로...?!
학교에선 왕따, 집에선 재벌 아가씨인 '백마리'.
학교에선 서열 1위, 집에선 마리의 집사인 '천하다'.
천방지축 왕따 아가씨를 어떻게든 학교의 퀸으로 만들어야 한다!!
정반대인 소년소녀의 서열반전 로맨스.
<저세상 클라스!> 꾀돌이 작가의 신작"
백호랑,"모든 것이 완벽해 보이는 지룡은 비밀스런 동거 중!
사촌동생이자 고양이이자 수호자인 소년은 바로 서쪽의 신수 백호였다!
과거의 죄를 씻기 위해 인간계에서 하늘의 심부름을 수행인 백호랑과 
그에게 엮인 지룡의 스펙타클한 일상"
파견체,"'단 하나의 지성이 온 우주의 종말을 가져올 수 있다.'

빅뱅 38억년 한 지성체의 폭주로 우주 종말의 위기를 겪은
우주의 지성체들은 '전우주관리국'이란 연합기구를 만들어
우주 전체의 지성체들을 감시 통제하고 있다.

이미 지구도 300만년 전부터 
인간을 복제한 '파견체'들이란 존재들을 통해 비밀리에
감시를 받아오고 있었는데...."
메리의 불타는 행복회로,"음침한 여고생 유메리는 엄마의 절친이었던 천혜윤과 그의 아들 천사현과 함께 살고 있다.
외모, 성적, 사교성, 모든 게 완벽한 그야말로 ‘엄마 친구 아들‘인 사현.
사현과 결혼하여 진정한 가족이 되는 것을 꿈꾸는 메리는 과연 사현의 마음을 얻을 수 있을까?"
오늘의 비너스,"“평범했던 내가... 오늘부터 세상에서 가장 아름답다고?
그런데, 그 기준은 누가 정하는 거지?“
뛰어난 연기력에도 평범한 외모 때문에 늘 오디션에서 탈락하던 배우 지망생 ‘강하나’.
그러던 어느 날, ‘외모가 곧 능력’ 이라는 세계적인 뷰티기업 <에스그룹>에서 그녀에게 스카웃 제의가 온다.
그리고 하나는 곧 엄청난 비밀을 알게 되는데...?
2021 지상최대공모전 1기 우수상 수상작."
경비실에서 안내방송 드립니다,"인적이 드문 산속 아파트에 이사 온 백성한.
어느 날 갑자기 옆집 이웃이 돌변해 아파트를 폐쇄하고 사람들을 죽이기 시작한다. 
백성한과 아파트 주민들은 경비실을 장악한 살인마의 주도 아래 목숨을 건 데스게임에 참여하게 되고, 
사람들의 살아남기 위한 몸부림이 시작된다."
매지컬 급식:암살법사,"온갖 ‘빌런’들로 가득한 현대사회, 이 어지러운 세상에 정의를 실현하고자 신이 강림했다.
그의 정의를 실현 할 용사는 바로… 마법소녀??
어쨌든 빌런을 퇴치하고자 마법소녀가 나타났다! 성능 확실한 마법소녀의 빌런 퇴치기!"
너를 돌려차는 방법,"관심 멈춰! 혼자가 제일 좋은 은신만렙 은솔.
조용한 고등학교 생활을 꿈꿨는데... 인기짱 선배, 지수 때문에 다 망했다!
엮였다 하면 파국인 환장듀오, 태권도부까지 함께하게 되다?!
청춘 그잡채! 우당탕탕 첫사랑 로맨스♥︎"
최후의 금빛아이,"언니의 생일날, 이 세계를 지배하는 신에 의해 모든 것을 잃은 소녀 록시.
자신이 신들의 먹이에 불과하다는 충격적인 진실을 알게 된다.
록시는 심장만 있으면 언니를 되살릴 수 있다는 말을 믿고 험난한 여행을 떠난다.
그러나 곧 그녀를 뒤쫓는 자들과 감당할 수 없는 적들이 나타나는데...
록시는 앞을 막아서는 그들을 물리치고 과연 언니를 되살릴 수 있을까?"
영앤리치가 아니야!,"<공대생 너무만화> 최삡뺩 작가의 개그로맨스 신작! 
모든 게 완벽한 퍼렁식품 CEO의 아들 서민준.
어른들과 친구들에게는 인기 폭발이지만, 여자친구를 사귀어 본 적 없는 모태솔로다.
민준은 같은 학교 여학생 새영에게 반하게 되는데, 새영의 이상형은 흙수저이지만 노력하는 사람이고, 자기보다 잘난 남자를 매우 싫어한다고?
사랑을 얻기 위해 영앤리치를 숨겨야하는 민준이의 첫 연애 도전기!"
지옥연애환담,"갑작스러운 실직과 이별에도 아플 새도 없이 일자리를 알아보는 대한민국의 K-장녀.
어느 날 우연히 '더 헬'이라는 회사의 공고를 발견하고 얼떨결에 취업까지 성공하게 된다.
그러나 그 곳은 냉미남 염라가 다스리는 진짜 지옥이었다."
세번째 로망스,"물 흐르듯 평범하게 살아온 연우는 오랜 연인이었던 태주와 헤어지고, 첫사랑이었던 세진을 만난다.
그런데 잊었던 설렘을 느끼기도 전에 갑자기 고등학생으로 돌아가게 되는데…!?
빛났던 첫사랑도, 오랜 연애의 끝도 모두 허무한 것을 알기에 사랑 따위엔 아무런 기대도 하지 않겠어!"
